settlement_id,settlement_utr,payment_id,order_id,amount,fee,tax,net_credit,type,status,created_at,settled_at
setl_S0916_033,CMS202609166719,pay_P1034_76FB7A,ORD_1034,2391.90,47.84,8.61,2335.45,payment,captured,2026-09-16 16:50:43,2026-09-16 16:50:43
setl_S0917_034,CMS202609176485,pay_P1036_11C8E1,ORD_1036,487.30,9.75,1.75,475.80,payment,captured,2026-09-17 14:01:04,2026-09-17 14:01:04
setl_S0917_035,CMS202609176485,pay_P1033_EC3DDA,ORD_1033,2476.95,49.54,8.92,2418.49,payment,captured,2026-09-17 17:15:44,2026-09-17 17:15:44
setl_S0917_036,CMS202609176485,pay_P1038_DCE84E,ORD_1038,1525.65,30.51,5.49,1489.65,payment,captured,2026-09-17 17:23:35,2026-09-17 17:23:35
setl_S0917_037,CMS202609176485,pay_P1035_6D7A9E,ORD_1035,2475.90,49.52,8.91,2417.47,payment,captured,2026-09-17 18:19:09,2026-09-17 18:19:09
setl_S0918_038,CMS202609187785,pay_P1037_3CB9F2,ORD_1037,1156.05,23.12,4.16,1128.77,payment,captured,2026-09-18 12:53:02,2026-09-18 12:53:02
setl_S0918_039,CMS202609187785,pay_P1039_331CC4,ORD_1039,2528.40,50.57,9.10,2468.73,payment,captured,2026-09-18 14:48:14,2026-09-18 14:48:14
setl_S0919_040,CMS202609199425,pay_P1042_F558B5,ORD_1042,98.80,1.98,0.36,96.46,payment,captured,2026-09-19 10:06:49,2026-09-19 10:06:49
setl_S0919_041,CMS202609199425,pay_P1040_EDBD6F,ORD_1040,2121.00,42.42,7.64,2070.94,payment,captured,2026-09-19 15:38:31,2026-09-19 15:38:31
setl_S0920_042,CMS202609207527,pay_P1041_65F1FD,ORD_1041,458.95,9.18,1.65,448.12,payment,captured,2026-09-20 13:36:57,2026-09-20 13:36:57
setl_S0920_043,CMS202609207527,pay_P1043_EBCB9F,ORD_1043,2816.10,56.32,10.14,2749.64,payment,captured,2026-09-20 19:16:01,2026-09-20 19:16:01
setl_S0921_044,CMS202609215081,pay_P1046_2245AC,ORD_1046,677.25,13.54,2.44,661.27,payment,captured,2026-09-21 12:13:10,2026-09-21 12:13:10
setl_S0921_045,CMS202609215081,pay_P1044_5888E0,ORD_1044,903.00,18.06,3.25,881.69,payment,captured,2026-09-21 19:05:58,2026-09-21 19:05:58
setl_S0921_046,CMS202609215081,pay_P1045_8D7B32,ORD_1045,449.50,8.99,1.62,438.89,payment,captured,2026-09-21 21:32:23,2026-09-21 21:32:23
setl_S0922_047,CMS202609221181,pay_P1047_4A939B,ORD_1047,1446.90,28.94,5.21,1412.75,payment,captured,2026-09-22 17:24:45,2026-09-22 17:24:45
setl_S0923_048,CMS202609233081,pay_P1048_E75482,ORD_1048,714.00,14.28,2.57,697.15,payment,captured,2026-09-23 17:25:40,2026-09-23 17:25:40
setl_S0924_049,CMS202609241811,pay_P1050_787B3E,ORD_1050,2525.25,50.51,9.09,2465.65,payment,captured,2026-09-24 17:41:14,2026-09-24 17:41:14
setl_S0925_050,CMS202609257127,pay_P1054_DDD92B,ORD_1054,942.90,18.86,3.39,920.65,payment,captured,2026-09-25 10:59:11,2026-09-25 10:59:11
setl_S0925_051,CMS202609257127,pay_P1051_FC5C20,ORD_1051,1299.90,26.00,4.68,1269.22,payment,captured,2026-09-25 16:46:46,2026-09-25 16:46:46
setl_S0925_052,CMS202609257127,pay_P1049_D4F7EC,ORD_1049,342.40,6.85,1.23,334.32,payment,captured,2026-09-25 19:54:33,2026-09-25 19:54:33
setl_S0926_053,CMS202609267231,pay_P1052_737E4A,ORD_1052,1148.70,22.97,4.13,1121.60,payment,captured,2026-09-26 10:15:03,2026-09-26 10:15:03
setl_S0927_054,CMS202609272822,pay_P1055_1548B1,ORD_1055,126.10,2.52,0.45,123.13,payment,captured,2026-09-27 18:33:09,2026-09-27 18:33:09
setl_S0927_055,CMS202609272822,pay_P1053_5D5AD6,ORD_1053,1459.50,29.19,5.25,1425.06,payment,captured,2026-09-27 20:45:39,2026-09-27 20:45:39
